id,title,link,rating,reviews,guests,bedrooms,beds,baths,years_hosting,price_original,price_discount,nights,total_nights,special_offer,cleaning_fee,service_fee,total
18,,https://www.airbnb.com/rooms/1099518342976478403?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3D6nOaUUwW7Bs66&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.45,11,2,1,1,1,5,77,64,4,257,0,40,42,339
19,,https://www.airbnb.com/rooms/629708624040038831?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3GSbnReRS8btl27&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.78,37,2,1,1,1.5,5,70,70,4,280,0,50,47,377
20,,https://www.airbnb.com/rooms/721155966976154610?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3NH97taE7jcGIzS&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.94,71,2,1,1,1,6,190,190,4,760,0,0,107,867
21,,https://www.airbnb.com/rooms/33679023?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3FOMMPPU37TNh8T&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.94,127,4,1,2,1.5,6,95,95,4,380,0,50,61,491
22,,https://www.airbnb.com/rooms/788392489362511332?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P384lNuBLA3iK27a&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,5.0,15,2,1,1,1.5,6,154,135,4,539,0,60,85,684
23,,https://www.airbnb.com/rooms/1253756944107735968?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3OsaYUxFW_9wb9S&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.75,4,2,1,1,2,2,350,271,4,1,0,35,158,1
24,,https://www.airbnb.com/rooms/29388920?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3LTwd43kZ6-1GgY&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,5.0,5,2,1,1,1,6,89,89,4,356,0,19,53,428
25,,https://www.airbnb.com/rooms/1218895247016474083?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3s7OfcZayFTl04X&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,5.0,8,2,1,1,1.5,0,87,87,4,347,0,15,51,413
26,,https://www.airbnb.com/rooms/588329154786331871?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3Yz-JEGAJZseyus&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.76,17,3,1,2,1.5,6,150,150,4,600,0,95,98,793
27,,https://www.airbnb.com/rooms/1160422067050121572?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3FVSloG5dtvfot1&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,5.0,4,5,3,3,3.5,0,390,390,4,1,0,29,224,1
28,,https://www.airbnb.com/rooms/26916814?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3t1HAyAtMAKaFPt&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.84,157,2,1,1,1.5,7,76,76,4,312,0,15,45,363
29,,https://www.airbnb.com/rooms/1228464177447259104?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3GYla8aGmg1tLqa&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.78,9,2,No disponible,1,1,0,49,49,4,195,0,25,31,251
30,,https://www.airbnb.com/rooms/42560305?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3G24WmK76xyOVbQ&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.92,166,2,1,1,1,7,77,77,4,316,0,15,45,367
